"data_e_hora_atualizacao","distrito","total_postos_FUNCIONANDO","postos_com_fila_media_ou_grande","pct_postos_com_fila"
"2022-01-17 10:44","Água Rasa",3,0,0
"2022-01-17 10:44","Alto de Pinheiros",1,0,0
"2022-01-17 10:44","Anhanguera",4,0,0
"2022-01-17 10:44","Aricanduva",3,0,0
"2022-01-17 10:44","Artur Alvim",6,1,16.7
"2022-01-17 10:44","Bela Vista",2,1,50
"2022-01-17 10:44","Belém",1,1,100
"2022-01-17 10:44","Bom Retiro",1,0,0
"2022-01-17 10:44","Brás",1,1,100
"2022-01-17 10:44","Brasilândia",12,2,16.7
"2022-01-17 10:44","Butantã",3,0,0
"2022-01-17 10:44","Cachoeirinha",4,0,0
"2022-01-17 10:44","Cambuci",1,1,100
"2022-01-17 10:44","Campo Belo",1,0,0
"2022-01-17 10:44","Campo Grande",2,2,100
"2022-01-17 10:44","Campo Limpo",12,1,8.3
"2022-01-17 10:44","Cangaíba",5,1,20
"2022-01-17 10:44","Capão Redondo",12,0,0
"2022-01-17 10:44","Carrão",2,1,50
"2022-01-17 10:44","Casa Verde",5,0,0
"2022-01-17 10:44","Cidade Ademar",12,2,16.7
"2022-01-17 10:44","Cidade Dutra",9,1,11.1
"2022-01-17 10:44","Cidade Líder",7,1,14.3
"2022-01-17 10:44","Cidade Tiradentes",13,0,0
"2022-01-17 10:44","Cursino",4,1,25
"2022-01-17 10:44","Ermelino Matarazzo",6,2,33.3
"2022-01-17 10:44","Freguesia do Ó",7,0,0
"2022-01-17 10:44","Grajaú",16,0,0
"2022-01-17 10:44","Guaianases",6,0,0
"2022-01-17 10:44","Iguatemi",7,0,0
"2022-01-17 10:44","Ipiranga",6,2,33.3
"2022-01-17 10:44","Itaim Bibi",4,3,75
"2022-01-17 10:44","Itaim Paulista",8,1,12.5
"2022-01-17 10:44","Itaquera",11,2,18.2
"2022-01-17 10:44","Jabaquara",9,1,11.1
"2022-01-17 10:44","Jaçanã",5,2,40
"2022-01-17 10:44","Jaguara",2,0,0
"2022-01-17 10:44","Jaguaré",1,0,0
"2022-01-17 10:44","Jaraguá",10,1,10
"2022-01-17 10:44","Jardim Ângela",18,0,0
"2022-01-17 10:44","Jardim Helena",5,2,40
"2022-01-17 10:44","Jardim São Luis",14,1,7.1
"2022-01-17 10:44","José Bonifácio",4,1,25
"2022-01-17 10:44","Lajeado",9,0,0
"2022-01-17 10:44","Lapa",4,2,50
"2022-01-17 10:44","Limão",4,0,0
"2022-01-17 10:44","Mandaqui",3,2,66.7
"2022-01-17 10:44","Marsilac",3,0,0
"2022-01-17 10:44","Mega-Drives",3,0,0
"2022-01-17 10:44","Moema",3,1,33.3
"2022-01-17 10:44","Mooca",2,2,100
"2022-01-17 10:44","Morumbi",1,0,0
"2022-01-17 10:44","Parelheiros",15,1,6.7
"2022-01-17 10:44","Pari",1,0,0
"2022-01-17 10:44","Parque do Carmo",5,2,40
"2022-01-17 10:44","Pedreira",9,0,0
"2022-01-17 10:44","Penha",5,0,0
"2022-01-17 10:44","Perdizes",2,1,50
"2022-01-17 10:44","Perus",2,1,50
"2022-01-17 10:44","Pinheiros",2,1,50
"2022-01-17 10:44","Pirituba",8,2,25
"2022-01-17 10:44","Ponte Rasa",9,0,0
"2022-01-17 10:44","Raposo Tavares",4,2,50
"2022-01-17 10:44","Rio Pequeno",6,1,16.7
"2022-01-17 10:44","Sacomã",8,1,12.5
"2022-01-17 10:44","Santa Cecília",5,1,20
"2022-01-17 10:44","Santana",3,1,33.3
"2022-01-17 10:44","Santo Amaro",4,0,0
"2022-01-17 10:44","São Domingos",4,0,0
"2022-01-17 10:44","São Lucas",6,2,33.3
"2022-01-17 10:44","São Mateus",10,0,0
"2022-01-17 10:44","São Miguel",4,0,0
"2022-01-17 10:44","São Rafael",7,0,0
"2022-01-17 10:44","Sapopemba",17,2,11.8
"2022-01-17 10:44","Saúde",3,1,33.3
"2022-01-17 10:44","Sé",2,1,50
"2022-01-17 10:44","Socorro",1,1,100
"2022-01-17 10:44","Tatuapé",1,1,100
"2022-01-17 10:44","Tremembé",7,1,14.3
"2022-01-17 10:44","Tucuruvi",4,2,50
"2022-01-17 10:44","Vila Andrade",5,2,40
"2022-01-17 10:44","Vila Curuçá",8,0,0
"2022-01-17 10:44","Vila Formosa",4,0,0
"2022-01-17 10:44","Vila Guilherme",5,0,0
"2022-01-17 10:44","Vila Jacuí",8,1,12.5
"2022-01-17 10:44","Vila Leopoldina",1,0,0
"2022-01-17 10:44","Vila Maria",5,0,0
"2022-01-17 10:44","Vila Mariana",2,2,100
"2022-01-17 10:44","Vila Matilde",5,0,0
"2022-01-17 10:44","Vila Medeiros",5,0,0
"2022-01-17 10:44","Vila Prudente",3,0,0
"2022-01-17 10:44","Vila Sônia",3,0,0
"2022-01-17 10:44","TOTAL DA CIDADE",505,72,14.3
